ticker,n_events,beat_rate,mean_surprise_pct,mean_day0_ret
AAPL,22,90.9%,9.42%,0.67%
ABBV,22,90.9%,1.42%,0.61%
ABT,21,85.7%,11.68%,0.12%
ACN,22,90.9%,4.32%,0.60%
ADBE,22,90.9%,3.63%,-1.69%
AIG,22,72.7%,4.75%,0.47%
AMD,22,81.8%,7.09%,0.49%
AMGN,22,90.9%,6.46%,-0.15%
AMT,22,95.5%,12.92%,0.84%
AMZN,22,77.3%,82.07%,0.59%
AVGO,22,86.4%,2.04%,-0.96%
AXP,22,81.8%,29.30%,0.52%
BA,22,31.8%,-1070.57%,-0.36%
BAC,21,95.2%,8.62%,0.34%
BK,21,95.2%,7.78%,1.22%
BKNG,22,90.9%,39.29%,0.05%
BLK,16,93.8%,10.78%,1.56%
BMY,22,81.8%,7.59%,-0.35%
BRK-B,22,63.6%,8.23%,0.11%
C,21,95.2%,22.70%,-0.20%
CAT,22,81.8%,15.98%,-1.12%
CHTR,22,63.6%,6.91%,1.23%
CL,22,77.3%,2.96%,-0.43%
CMCSA,21,100.0%,12.87%,-0.68%
COF,21,57.1%,-16.92%,0.27%
COP,22,72.7%,8.38%,-0.11%
COST,22,77.3%,3.02%,0.07%
CRM,22,95.5%,25.63%,0.19%
CSCO,22,100.0%,4.32%,-0.23%
CVS,22,90.9%,8.96%,1.35%
CVX,22,63.6%,3.62%,-1.02%
DE,22,95.5%,23.73%,0.64%
DHR,22,95.5%,12.57%,0.52%
DIS,22,81.8%,33.93%,0.18%
DUK,22,63.6%,1.87%,-0.23%
EMR,22,86.4%,9.04%,0.44%
F,22,63.6%,283.31%,0.27%
FDX,22,63.6%,9.32%,0.75%
GD,22,72.7%,1.52%,-0.38%
GE,22,81.8%,34.79%,1.33%
GILD,22,72.7%,5.13%,-0.07%
GM,22,90.9%,43.48%,-0.04%
GOOG,22,77.3%,15.21%,0.57%
GOOGL,22,77.3%,15.34%,0.62%
GS,21,81.0%,26.74%,0.36%
HD,22,90.9%,4.01%,-0.58%
HON,22,95.5%,4.12%,-1.56%
IBM,21,95.2%,4.71%,0.18%
INTC,21,76.2%,24.11%,0.32%
INTU,22,86.4%,23.86%,0.21%
ISRG,21,90.5%,21.44%,-0.04%
JNJ,21,100.0%,6.13%,0.78%
JPM,21,85.7%,13.42%,-0.30%
KHC,22,95.5%,9.58%,-0.54%
KO,22,86.4%,7.88%,0.85%
LIN,22,100.0%,4.81%,1.09%
LLY,22,63.6%,15.16%,0.47%
LMT,22,100.0%,16.73%,-1.01%
LOW,22,100.0%,7.89%,-0.79%
MA,22,95.5%,6.48%,0.25%
MCD,22,68.2%,3.36%,0.51%
MDLZ,22,86.4%,6.53%,0.21%
MDT,22,90.9%,12.41%,-1.05%
MET,22,63.6%,13.83%,0.24%
META,22,77.3%,9.56%,0.75%
MMM,22,90.9%,9.95%,1.00%
MO,22,68.2%,1.30%,-0.21%
MRK,22,81.8%,13.21%,-0.90%
MS,21,81.0%,16.59%,0.86%
MSFT,22,95.5%,7.87%,-0.10%
NEE,22,86.4%,5.81%,0.33%
NFLX,21,66.7%,6.14%,-0.00%
NKE,22,90.9%,-7.60%,0.78%
NOW,22,27.3%,-40.10%,0.16%
NVDA,22,77.3%,8.81%,-0.28%
ORCL,22,77.3%,3.86%,-0.53%
PEP,22,90.9%,4.61%,-0.02%
PFE,22,90.9%,29.38%,0.43%
PG,21,85.7%,4.43%,0.54%
PLD,21,90.5%,23.45%,0.39%
PM,22,95.5%,5.80%,1.02%
PYPL,22,81.8%,8.06%,-0.06%
QCOM,22,90.9%,8.69%,1.33%
RTX,22,100.0%,24.05%,-0.13%
SBUX,22,54.5%,5.51%,0.46%
SCHW,17,76.5%,1.42%,0.15%
SO,22,90.9%,8.47%,0.68%
SPG,22,68.2%,11.81%,1.87%
T,22,81.8%,4.27%,0.75%
TGT,22,72.7%,16.07%,-0.91%
TMO,22,95.5%,9.28%,0.42%
TMUS,22,95.5%,116.66%,0.95%
TSLA,22,63.6%,87.26%,0.04%
TXN,21,100.0%,12.98%,-0.58%
UNH,21,95.2%,6.13%,-0.36%
UNP,21,71.4%,2.42%,-0.26%
UPS,22,86.4%,12.87%,-1.20%
USB,21,81.0%,11.07%,0.06%
V,22,90.9%,5.12%,-0.26%
VZ,22,68.2%,1.78%,-0.51%
WFC,21,81.0%,-4.31%,0.01%
WMT,22,81.8%,8.14%,-0.07%
XOM,22,68.2%,6182.57%,-0.46%
